Hours,Lifetime Hourly Data: System power generated (kW),MW
772.5,-7.08862,0
773.5,-7.08862,0
774.5,2466.4,2.4664
775.5,8698.31,8.69831
776.5,18342.3,18.3423
777.5,38389.8,38.3898
778.5,47545.1,47.5451
779.5,26543.1,26.5431
780.5,17964.7,17.9647
781.5,10946.5,10.9465
782.5,13254.7,13.2547
783.5,8309.51,8.30951
784.5,23552.7,23.5527
785.5,15935.4,15.9354
786.5,4680.13,4.68013
787.5,91.4796,0.0914796
788.5,-7.08862,0
789.5,-7.08862,0
790.5,-7.08862,0
791.5,-7.08862,0
792.5,-7.08862,0
793.5,-7.08862,0
794.5,-7.08862,0
795.5,-7.08862,0
796.5,-7.08862,0
797.5,-7.08862,0
798.5,1064.73,1.06473
799.5,4653.61,4.65361
800.5,11195.3,11.1953
801.5,27305.8,27.3058
802.5,40575.3,40.5753
803.5,44509.9,44.5099
804.5,48090.1,48.0901
805.5,54503.4,54.5034
806.5,23610,23.61
807.5,16157.4,16.1574
808.5,8766.42,8.76642
809.5,3852.16,3.85216
810.5,1082.6,1.0826
811.5,-7.08862,0
812.5,-7.08862,0
813.5,-7.08862,0
814.5,-7.08862,0
815.5,-7.08862,0
816.5,-7.08862,0
817.5,-7.08862,0
818.5,-7.08862,0
819.5,-7.08862,0
820.5,-7.08862,0
821.5,-7.08862,0
822.5,2666.87,2.66687
823.5,10881.1,10.8811
824.5,24947,24.947
825.5,39670.7,39.6707
826.5,49469.8,49.4698
827.5,54503.4,54.5034
828.5,37652.3,37.6523
829.5,6782.4,6.7824
830.5,13232.4,13.2324
831.5,18753.5,18.7535
832.5,27178.9,27.1789
833.5,11184.8,11.1848
834.5,3034.58,3.03458
835.5,-7.08862,0
836.5,-7.08862,0
837.5,-7.08862,0
838.5,-7.08862,0
839.5,-7.08862,0
840.5,-7.08862,0
841.5,-7.08862,0
842.5,-7.08862,0
843.5,-7.08862,0
844.5,-7.08862,0
845.5,-7.08862,0
846.5,2137.39,2.13739
847.5,10573.4,10.5734
848.5,17575.4,17.5754
849.5,28357.9,28.3579
850.5,47893,47.893
851.5,49735.6,49.7356
852.5,54503.4,54.5034
853.5,54503.4,54.5034
854.5,44921,44.921
855.5,44224.8,44.2248
856.5,29972.6,29.9726
857.5,17154.5,17.1545
858.5,3265.52,3.26552
859.5,-7.08862,0
860.5,-7.08862,0
861.5,-7.08862,0
862.5,-7.08862,0
863.5,-7.08862,0
864.5,-7.08862,0
865.5,-7.08862,0
866.5,-7.08862,0
867.5,-7.08862,0
868.5,-7.08862,0
869.5,-7.08862,0
870.5,1832.65,1.83265
871.5,12184.4,12.1844
872.5,19893.9,19.8939
873.5,8469.66,8.46966
874.5,43958.1,43.9581
875.5,44181.1,44.1811
876.5,54503.4,54.5034
877.5,53733.2,53.7332
878.5,47782.7,47.7827
879.5,42642.1,42.6421
880.5,26849.3,26.8493
881.5,8474.09,8.47409
882.5,3566.45,3.56645
883.5,-7.08862,0
884.5,-7.08862,0
